12195	0	16168	0
6040	1	13182	0
3488	2	577	0
577	3	3488	0
1875	4	9374	0
9374	5	14022	0
7928	6	11709	0
2792	4	11042	0
10692	7	1106	0
15472	8	3285	0
1552	9	15472	0
6127	4	10692	0
10692	9	15472	0
13952	4	15472	0
6850	10	1552	0
6164	10	7084	0
2057	4	7295	0
10290	4	8012	0
8269	11	5407	0
14022	12	6561	0
2897	13	10877	0
10877	13	2897	0
12584	10	3968	0
6114	10	16230	0
5649	0	6966	0
8558	4	16778	0
8930	14	7467	0
16778	15	8930	0
3844	4	2646	0
3221	16	4677	0
14022	17	15045	0
14022	18	3495	0
17113	19	2378	0
1573	15	17790	0
6189	4	17140	0
672	0	10308	0
3513	20	672	0
4310	21	10538	0
7957	11	3184	0
13300	4	1763	0
5169	10	10183	0
7634	4	12943	0
14022	11	12943	0
7490	11	3255	0
2538	22	12971	0
13290	23	2950	0
13300	20	14951	0
15442	24	5268	0
4071	14	7467	0
3822	20	4702	0
5169	25	13409	0
5169	25	10183	0
15268	15	589	0
8012	4	17856	0
15527	4	15710	0
3786	26	8779	0
3786	26	10583	0
3786	26	5407	0
7490	27	9876	0
3786	26	12284	0
7774	10	5798	0
14774	4	14956	0
17292	28	6178	0
6178	28	17292	0
8012	29	13366	0
10065	15	12676	0
3786	26	12971	0
4446	4	11982	0
7634	30	15710	0
17140	7	14050	0
1305	15	10538	0
16987	0	4117	0
1132	4	16987	0
1132	31	16987	0
1132	32	16987	0
17739	14	7467	0
5135	20	4117	0
2813	33	10583	0
15710	34	7634	0
17261	33	10988	0
17261	4	5407	0
6330	15	15850	0
14303	4	11416	0
5880	14	5311	0
2900	13	15695	0
3315	10	5880	0
14887	3	16445	0
16445	2	14887	0
17397	13	3244	0
11777	13	15840	0
11805	13	15840	0
1974	13	15840	0
3244	13	17397	0
15840	13	11777	0
15840	13	11805	0
15840	13	1974	0
3708	35	5070	0
13290	24	9390	0
1570	18	2378	0
12	4	9348	0
3315	14	5311	0
15695	13	2900	0
7177	1	4192	0
3337	30	10797	0
6461	7	14050	0
15115	7	14050	0
577	6	373	0
5974	13	12708	0
12708	13	5974	0
710	1	13182	0
14022	1	13182	0
6634	4	14022	0
